d,M,ε,fn,gt,mean,std,bias,bias2,variance,mse,ess,mcse
30,1024,0.1,x1y1,0.6579625772407729,0.4260266929034577,0.004405701862138865,-0.2319358843373152,0.05379425444333246,1.9410208898053866e-5,0.05381366465223052,3.1387989344341904,0.0024867570420213357
30,1024,0.1,EZ,18.756421010255902,11.989328426199208,0.01975163329408058,-6.7670925840566944,45.79354204119511,0.00039012701778383244,45.79393216821289,2.6890109654370575,0.012044997864577361
30,1024,0.1,EZ2,411.8655080634562,178.96881517938473,0.4563381028026236,-232.89669288407148,54240.869556337515,0.20824446406949784,54241.077800801584,2.6846816411519705,0.27850970677336084
30,1024,0.1,EZ3,10593.800559229183,3239.3123840263343,10.906489805928148,-7354.488175202849,5.408849631919853e7,118.95151988681462,5.408861527071841e7,2.7846491974588106,6.535815017636085
30,1024,1.0,x0y0,0.5673051356094784,0.47155523337327937,0.011253700711886664,-0.095749902236199,0.009168043778241666,0.00012664577971271843,0.009294689557954384,15.046773626963775,0.002901173270162504
30,1024,1.0,x0y1,0.38978912652045816,0.35888845114096896,0.009989886707388429,-0.030900675379489206,0.0009548517389085704,9.979783642645604e-5,0.0010546495753350265,32.20402953899369,0.001760376064352286
30,1024,1.0,x1y0,0.3897891265204582,0.38054514059695954,0.01222767106952464,-0.009243985923498677,8.545127575384168e-5,0.00014951593978448986,0.00023496721553833153,32.480064269573184,0.002145533537479933
30,1024,1.0,x1y1,0.5055963014140831,0.41251331805070596,0.010551611032742787,-0.09308298336337711,0.008664441791826741,0.00011133649538629929,0.008775778287213041,30.99892529543968,0.0018951581372555486
30,1024,1.0,EZ,14.194122424867857,12.178949629433173,0.02637188422768874,-2.015172795434683,4.060921395460036,0.0006954762777186182,4.061616871737755,10.879145475170894,0.007995465772329777
30,1024,1.0,EZ2,255.3760501997026,184.82095296906473,0.7381200336886176,-70.55509723063787,4978.021745224763,0.5448211841324859,4978.566566408896,9.279292577498074,0.24230900750449014
30,1024,1.0,EZ3,5700.199846201281,3388.0478786329472,21.660837060270005,-2312.1519675683335,5.346046721130116e6,469.19186215156645,5.346515912992268e6,15.448522030336365,5.511017209316717
30,8192,0.05,x0y0,0.7474227196093675,0.510669631594127,0.0023234997026193188,-0.23675308801524042,0.05605202468475218,5.398650868072062e-6,0.05605742333562025,4.9192267978557584,0.0010475968847354171
30,8192,0.05,x0y1,0.41587478331369054,0.37915806672449565,0.0010209396628439453,-0.0367167165891949,0.00134811727709126,1.0423177951679086e-6,0.0013491595948864278,7.193141690663943,0.0003806630900090324
30,8192,0.05,x1y0,0.4158747833136906,0.37036115885088533,0.0009734622391322618,-0.04551362446280527,0.002071490011741266,9.476287310163968e-7,0.0020724376404722823,6.723417929793959,0.0003754257489192554
30,8192,0.05,x1y1,0.6698214375125249,0.4697526795693452,0.0011522910102596162,-0.2000687579431797,0.040027507904926624,1.327774572325127e-6,0.04002883567949895,5.96674147730287,0.00047173007232373653
30,8192,0.05,EZ,19.11224169574451,13.256896014030627,0.040174449547970545,-5.855345681713882,34.2850730523654,0.0016139863964824309,34.28668703876188,5.441624077894785,0.01722208256034485
30,8192,0.05,EZ2,425.79997659416125,215.30078927184098,0.997819746737008,-210.49918732232027,44309.90786335728,0.9956442469783068,44310.90350760426,5.584792880220791,0.4222294860761466
30,8192,0.05,EZ3,11071.462087832115,4210.7815794369835,22.171167407255986,-6860.680508395131,4.706893703827288e7,491.56066420057005,4.706942859893708e7,5.742601888872391,9.251969799282657
30,8192,0.1,x0y0,0.7353974233983906,0.5056226329286924,0.0018923235332867128,-0.2297747904696983,0.052796454335393754,3.5808883546307086e-6,0.05280003522374838,4.80132351207906,0.0008636045177083558
30,8192,0.1,x0y1,0.4156314550441065,0.3748686063279335,0.0016976299000538188,-0.04076284871617297,0.0016616098354576044,2.881947277556739e-6,0.0016644917827351611,3.7043808327578605,0.0008820337466459476
30,8192,0.1,x1y0,0.4156314550441065,0.3737857269051003,0.0014581939846590021,-0.041845728139006166,0.0017510649634836124,2.1263296968956984e-6,0.0017531912931805082,10.16457316561743,0.00045737321671638465
30,8192,0.1,x1y1,0.6579625772407729,0.46993890218533874,0.0021294219196339448,-0.18802367505543416,0.03535290238135149,4.534437711817515e-6,0.03535743681906331,6.008498012025011,0.0008687178781297897
30,8192,0.1,EZ,18.756421010255902,13.279630441016577,0.045019376868703644,-5.476790569239325,29.995234939308812,0.0020267442936463685,29.99726168360246,4.404525494216598,0.02145111718611792
30,8192,0.1,EZ2,411.8655080634562,216.46275446468303,1.2481789165055408,-195.4027535987732,38182.236113982864,1.5579506076089455,38183.794064590475,4.501023897844302,0.5883302555724934
30,8192,0.1,EZ3,10593.800559229183,4266.571630427576,32.71367282613601,-6327.228928801607,4.0033825917463936e7,1070.1843897754695,4.003489610185371e7,4.627753820145065,15.20702226946568
30,8192,1.0,x0y0,0.5673051356094784,0.5064617273624277,0.004741609628012666,-0.0608434082470507,0.0037019203271172773,2.2482861864462417e-5,0.00372440318898174,8.023238573798665,0.0016739826133935379
30,8192,1.0,x0y1,0.38978912652045816,0.3731917642589421,0.004384599319438904,-0.016597362261516035,0.0002754724340399967,1.92247111920241e-5,0.00029469714523202076,10.49957779485843,0.0013531439317032148
30,8192,1.0,x1y0,0.3897891265204582,0.3727616385203419,0.003992786077726833,-0.01702748800011633,0.00028993534759410563,1.5942340662489226e-5,0.00030587768825659486,30.618997734162985,0.0007215734700737578
30,8192,1.0,x1y1,0.5055963014140831,0.4679636972811291,0.003233085869769041,-0.037632604132953995,0.001416212893827626,1.0452844241300238e-5,0.0014266657380689264,44.49333317968606,0.0004846963715683795
30,8192,1.0,EZ,14.194122424867857,13.253675536137354,0.05460595817070255,-0.9404468887305022,0.8844403505228816,0.002981810667740517,0.8874221611906221,4.670745919090583,0.025266606140487747
30,8192,1.0,EZ2,255.3760501997026,218.39904425800023,1.5953627663985754,-36.97700594170237,1367.2989684126926,2.5451823564109155,1369.8441507691034,4.259292893948133,0.7730199443804159
30,8192,1.0,EZ3,5700.199846201281,4358.186283305176,41.66629167659031,-1342.0135628961043,1.801000402997096e6,1736.0798620786989,1.8027364828591747e6,4.103391855572229,20.569008311148192
100,128,0.05,x0y0,0.7474168375019269,0.001646914933016278,0.0009058959264993631,-0.7457699225689106,0.556172777408439,8.206474296481395e-7,0.5561735980558686,589.1535829964591,3.7321925805095514e-5
100,128,0.05,x0y1,0.41586821045852884,-0.002340973703559421,0.0012655945666848185,-0.41820918416208824,0.17489892171751945,1.6017296072221337e-6,0.17490052344712667,612.095529170226,5.115463591711794e-5
100,128,0.05,x1y0,0.41586821045852884,0.4684865181817691,0.0029799084437087315,0.052618307723240276,0.002768686307657607,8.879854332886595e-6,0.0027775661619904935,563.1944220660973,0.0001255664882382548
100,128,0.05,x1y1,0.6698140925828162,0.35111932677409446,0.0034146108569162,-0.31869476580872175,0.101566353753876,1.1659567304169986e-5,0.10157801332118017,561.6657121993846,0.0001440795225394556
100,128,0.05,EZ,62.55154913608261,20.309209907803535,0.00017633225866783026,-42.24233922827908,1784.4152234770056,3.10930654468986e-8,1784.4152235080987,579.9735993320095,7.3219651613224355e-6
100,128,0.05,EZ2,4112.132510595356,458.4366570927972,0.17633445020284347,-3653.6958535025583,1.3349493389901787e7,0.031093838328339084,1.3349493420995625e7,569.6294409358962,0.007388239314401985
100,128,0.05,EZ3,284342.16742231126,11382.621682549629,8.229380678894794,-272959.5457397616,7.450691361045702e10,67.72270635816693,7.450691367817972e10,574.7718694937627,0.3432569982028197
100,128,0.1,x0y0,0.7353915413322281,0.08253689302480233,0.0038593967795416055,-0.6528546483074258,0.4262191918166126,1.4894943501936115e-5,0.42623408676011454,647.5295960730457,0.00015166648388701326
100,128,0.1,x0y1,0.4156248822353041,0.018974921436161363,0.001495222744671652,-0.3966499607991427,0.15733119140196145,2.235691056183428e-6,0.15733342709301762,623.0856903584616,5.990071495111427e-5
100,128,0.1,x1y0,0.415624882235304,0.32605162534831894,0.0067622349453065065,-0.08957325688698509,0.00802336834934182,4.572782145552449e-5,0.008069096170797345,636.6826711459022,0.0002679962646703356
100,128,0.1,x1y1,0.6579552323631342,0.2606657019692544,0.0027317727079616072,-0.3972895303938798,0.15783897096058955,7.462582127963893e-6,0.15784643354271752,533.1798470156679,0.00011830625283960962
100,128,0.1,EZ,61.36638461609824,20.41543050656221,0.000209632072300239,-40.95095410953603,1676.9806424813257,4.394560573689263e-8,1676.9806425252714,640.3729189679249,8.28402209871371e-6
100,128,0.1,EZ2,3963.764841620093,462.3266142989269,0.23725022204818244,-3501.4382273211663,1.2260069659745991e7,0.05628766786191187,1.226006971603366e7,644.8677566651388,0.009342676176572898
100,128,0.1,EZ3,269691.71776907245,11418.563519389027,14.45588377576054,-258273.15424968343,6.670502220608077e10,208.97257573829683,6.6705022415053345e10,635.118279785305,0.573610828884366
100,128,1.0,x0y0,0.5672992589968553,0.12448350000836123,0.029877086778253324,-0.44281575898849407,0.19608579640855606,0.0008926403143552796,0.19697843672291135,12.443254465729659,0.008469762982375478
100,128,1.0,x0y1,0.3897825598365883,0.06825384091232374,0.02878703068096399,-0.3215287189242646,0.10338071709307875,0.0008286931354267622,0.10420941022850551,8.572417125515646,0.009832075912781743
100,128,1.0,x1y0,0.38978255983658827,0.34619923555787024,0.015805865614947,-0.04358332427871803,0.0018995061551838922,0.0002498253878377638,0.0021493315430216563,10.692518481661795,0.004833684280101616
100,128,1.0,x1y1,0.5055889634158908,0.2476835026632925,0.013162569300108446,-0.25790546075259824,0.06651522668601,0.00017325323058015732,0.06668847991659015,12.972188148222482,0.0036545512043384652
100,128,1.0,EZ,46.25030670628516,20.779343287439854,0.09663876592233196,-25.470963418845304,648.7699774841557,0.00933905107899127,648.7793165352347,7.634289618581913,0.034975751897677064
100,128,1.0,EZ2,2316.965717072303,476.56299454098746,3.2112010437879066,-1840.4027225313157,3.387082181100679e6,10.31181214362454,3.387092492912823e6,10.178993529958243,1.0065030080167718
100,128,1.0,EZ3,125537.7913687207,11972.92729736103,104.81541276509753,-113564.86407135967,1.2896978351546398e10,10986.270753117771,1.2896989337817152e10,19.537795625416457,23.71304730920128
100,1024,0.05,x0y0,0.7474168375019269,0.28812204282950493,0.0015570213485663776,-0.45929479467242196,0.21095170841318225,2.4243154798914613e-6,0.21095413272866215,8.242647930980375,0.0005423269571373686
100,1024,0.05,x0y1,0.41586821045852884,0.25072366359200854,0.0014249204331771533,-0.1651445468665203,0.02727272135974832,2.0303982408857665e-6,0.027274751757989206,5.877101370481772,0.0005877721758007613
100,1024,0.05,x1y0,0.41586821045852884,0.20500113384794671,0.0018822360053202714,-0.21086707661058213,0.04446492399829311,3.5428123797240123e-6,0.04446846681067283,122.05857732151,0.00017036874528479466
100,1024,0.05,x1y1,0.6698140925828162,0.27995513929389987,0.0013903922554227431,-0.38985895328891634,0.15199000345952945,1.9331906239395424e-6,0.1519919366501534,122.68820819858206,0.0001255266469415565
100,1024,0.05,EZ,62.55154913608261,24.988683386781712,0.009645757892159912,-37.5628657493009,1410.9688833000025,9.304064531416521e-5,1410.968976340648,4.076708808259611,0.0047772889623150915
100,1024,0.05,EZ2,4112.132510595356,693.2512123481415,0.5409375584534036,-3418.881298247214,1.1688749331504555e7,0.2926134421455294,1.1688749624117998e7,4.627671880401797,0.251458231802544
100,1024,0.05,EZ3,284342.16742231126,21163.818114971564,25.966674589390003,-263178.3493073397,6.926284354413611e10,674.2681892312725,6.92628442184043e10,5.760587833445936,10.818895701612963
100,1024,0.1,x0y0,0.7353915413322281,0.3006798672612146,0.0016513707602188068,-0.43471167407101347,0.18897423957362305,2.72702538770564e-6,0.18897696659901075,4.21366262177596,0.00080447899790729
100,1024,0.1,x0y1,0.4156248822353041,0.2460741057512488,0.0015476963723579902,-0.16955077648405528,0.028747465806346073,2.3953640610100826e-6,0.028749861170407082,4.860535845761761,0.0007020106318114159
100,1024,0.1,x1y0,0.415624882235304,0.23826976746606313,0.0007099787527785572,-0.1773551147692409,0.031454836734810615,5.040698293969956e-7,0.03145534080464001,100.7081085072197,7.074783143590898e-5
100,1024,0.1,x1y1,0.6579552323631342,0.3050580217578074,0.0010882352860915395,-0.35289721060532686,0.12453644125302042,1.1842560378947346e-6,0.12453762550905832,57.87311978572855,0.000143048845298081
100,1024,0.1,EZ,61.36638461609824,24.977549742595198,0.007680196603936178,-36.38883487350304,1324.1473034510711,5.8985419875112806e-5,1324.147362436491,3.547127555289992,0.004077875238961876
100,1024,0.1,EZ2,3963.764841620093,692.7739662925356,0.3602239518330414,-3270.9908753275577,1.0699381306476142e7,0.12976129547421333,1.0699381436237438e7,3.590882797619418,0.19009555903340658
100,1024,0.1,EZ3,269691.71776907245,21100.592087407604,13.39055308715773,-248591.12568166485,6.179754776767729e10,179.30691197998945,6.179754794698421e10,3.6863681901597167,6.974276490042523
100,1024,1.0,x0y0,0.5672992589968553,0.2970286954081327,0.00680551053107496,-0.2702705635887226,0.07304617754256575,4.631497358857218e-5,0.07309249251615432,11.601783146090757,0.0019980131331043312
100,1024,1.0,x0y1,0.3897825598365883,0.23784665614046355,0.006545586191301437,-0.15193590369612478,0.023084518831958105,4.284469858775606e-5,0.023127363530545862,12.650620097889659,0.001840317004417979
100,1024,1.0,x1y0,0.38978255983658827,0.22849723721780307,0.0059151785659816245,-0.1612853226187852,0.026012955292245624,3.498933746744843e-5,0.026047944629713073,33.43725537804771,0.0010229456231217523
100,1024,1.0,x1y1,0.5055889634158908,0.30999102200494066,0.011618138539850357,-0.1955979414109501,0.038258554684201466,0.0001349811431311562,0.038393535827332625,4.5184189483942125,0.005465668690324624
100,1024,1.0,EZ,46.25030670628516,25.627205911588973,0.10202871846861856,-20.623100794696185,425.3122863881984,0.010409859392348626,425.3226962475907,4.452863776461861,0.04835069567148117
100,1024,1.0,EZ2,2316.965717072303,725.9285354409603,4.609069026339131,-1591.0371816313427,2.531399313333406e6,21.243517289558746,2.5314205568506955e6,4.421377080663677,2.1919691342841006
100,1024,1.0,EZ3,125537.7913687207,22539.978376604842,164.30164067212013,-102997.81299211585,1.0608549481158869e10,26995.029127550482,1.0608576476187996e10,4.62657071270141,76.38574136389035
100,8192,0.05,x0y0,0.7474168375019269,0.34015669690615247,0.0026942721493982704,-0.4072601405957744,0.16586082211808995,7.259102415023177e-6,0.16586808122050498,5.532013810946761,0.0011455125036136885
100,8192,0.05,x0y1,0.41586821045852884,0.27627702430150597,0.0020962689556385783,-0.13959118615702287,0.019485699252724614,4.394343534374056e-6,0.019490093596258987,5.6884935952547035,0.0008789180146684382
100,8192,0.05,x1y0,0.41586821045852884,0.27631179613340956,0.0017901176542116193,-0.13955641432511928,0.019475992779284357,3.2045212159201107e-6,0.019479197300500278,5.953101359324499,0.0007336855016836439
100,8192,0.05,x1y1,0.6698140925828162,0.3174313307346087,0.0022480582885257075,-0.3523827618482075,0.12417361084777052,5.0537660686091335e-6,0.12417866461383913,5.359780207713983,0.0009710331964710594
100,8192,0.05,EZ,62.55154913608261,28.392592175371536,0.09607565356384146,-34.15895696071108,1166.834340643712,0.009230531207719283,1166.8435711749198,5.486347913248896,0.04101773501943196
100,8192,0.05,EZ2,4112.132510595356,886.3819123964693,5.099387847037423,-3225.750598198886,1.040546692178047e7,26.00375641451297,1.0405492925536886e7,5.4554082324813935,2.1832547677574294
100,8192,0.05,EZ3,284342.16742231126,30240.500316167265,223.873882578317,-254101.667106144,6.456765722612163e10,50119.515300690065,6.4567707345636925e10,5.451956321589765,95.87982821673097
100,8192,0.1,x0y0,0.7353915413322281,0.33115644236381286,0.0024224588942166744,-0.4042350989684152,0.16340601523800444,5.868307094169473e-6,0.1634118835450986,4.5822369368756375,0.0011316643778016362
100,8192,0.1,x0y1,0.4156248822353041,0.2739542723822083,0.0016359548938743224,-0.14167060985309576,0.020070561696148074,2.676348414791346e-6,0.020073238044562864,9.537372760618254,0.0005297329004072181
100,8192,0.1,x1y0,0.415624882235304,0.27685742020234994,0.0017797459369139393,-0.1387674620329541,0.019256408519067354,3.167495599961676e-6,0.019259576014667316,3.8554621259217887,0.0009063997760174908
100,8192,0.1,x1y1,0.6579552323631342,0.30273505341141904,0.0017609256716206057,-0.3552201789517152,0.12618137553448858,3.100859220972481e-6,0.12618447639370955,3.494384037880412,0.000942010423641211
100,8192,0.1,EZ,61.36638461609824,28.3868906272083,0.09715705648534373,-32.97949398888994,1087.647023763228,0.009439493624896272,1087.656463256853,5.422491518153505,0.0417229404558394
100,8192,0.1,EZ2,3963.764841620093,886.4210706705503,5.13255648230163,-3077.343770949543,9.470044684601953e6,26.34313604401648,9.470071027737997e6,5.48956128862656,2.1906092555443353
100,8192,0.1,EZ3,269691.71776907245,30279.379066559264,227.0417280137314,-239412.3387025132,5.73182679230069e10,51547.946259461176,5.7318319470953156e10,5.542373974112886,96.44012624449132
100,8192,1.0,x0y0,0.5672992589968553,0.33344457085236356,0.0037685624067254754,-0.23385468814449173,0.05468801516715748,1.4202062613384508e-5,0.054702217229770866,7.7025708501821395,0.0013578689596400338
100,8192,1.0,x0y1,0.3897825598365883,0.26627356486592435,0.0030437185219188835,-0.12350899497066398,0.0152544718386635,9.264222440672073e-6,0.015263736061104172,9.917888666167354,0.0009664844539418644
100,8192,1.0,x1y0,0.38978255983658827,0.2915421849783635,0.002759838728945092,-0.09824037485822479,0.009651171252284525,7.616709809785261e-6,0.00965878796209431,6.153212628205794,0.0011125838293922251
100,8192,1.0,x1y1,0.5055889634158908,0.324009736796922,0.0038746259793203926,-0.18157922661896875,0.032971015539542806,1.5012726479624511e-5,0.03298602826602243,3.2018351109219982,0.0021653609711565908
100,8192,1.0,EZ,46.25030670628516,28.90120184541045,0.24250966461267245,-17.349104860874707,300.9914394736264,0.05881093743055087,301.05025041105694,3.7142717026825856,0.12583232356680113
100,8192,1.0,EZ2,2316.965717072303,916.8583392326656,13.572105723059781,-1400.1073778396376,1.9603006694809857e6,184.20205375791207,1.9604848715347436e6,3.664737653538226,7.089666214468855
100,8192,1.0,EZ3,125537.7913687207,31737.92335675009,636.1126246112789,-93799.86801197061,8.798415239063108e9,404639.2711898498,8.7988198783343e9,3.5966831403339525,335.41534341522186
